Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death,IsFemale,Occupation_code_0,Occupation_code_1,Occupation_code_2,Occupation_code_3,Occupation_code_4,Occupation_code_5,Occupation_code_6,Occupation_code_7,Occupation_code_8,Occupation_code_9,Occupation_code_10,Occupation_death_mean_age,Age Group,job_safety_level
Q1615,Neil Armstrong,American astronaut and the first human to walk on the moon,Male,United States Of America,Teacher,1930,2012.0,natural causes,82.0,0,0,0,0,0,0,0,0,0,1,1,1,68.8,2,2
Q1618,Charles Lindbergh,"American aviator, author, inventor, explorer, and social activist",Male,United States Of America,Artist,1902,1974.0,natural causes,72.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q1631,Édith Piaf,French singer,Female,France,Artist,1915,1963.0,natural causes,48.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q1638,Primo Nebiolo,Italian sports official and IAAF president,Male,Italy; Kingdom Of Italy,Athlete,1923,1999.0,natural causes,76.0,0,0,0,0,0,0,0,0,0,0,1,1,54.9,2,1
Q1646,Françoise Sagan,French writer,Female,France,Artist,1935,2004.0,natural causes,69.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q1666,Jacques Brel,Belgian singer-songwriter,Male,Belgium,Artist,1929,1978.0,natural causes,49.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q1698,Serge Gainsbourg,"French singer, songwriter, pianist, film composer, poet, painter, screenwriter, writer, actor and director (1928-1991)",Male,France,Artist,1928,1991.0,natural causes,63.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q1768,Ella Fitzgerald,American jazz singer,Female,United States Of America,Artist,1917,1996.0,natural causes,79.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q1775,Brownie Mary,American medical cannabis activist,Female,United States Of America,Activist,1922,1999.0,natural causes,77.0,1,0,0,0,0,0,0,0,1,0,0,0,44.6,2,1
Q1779,Louis Armstrong,"American jazz trumpeter, composer and singer",Male,United States Of America,Artist,1900,1971.0,natural causes,71.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q1802,Daniel Balavoine,French recording artist; singer-songwriter,Male,France,Artist,1952,1986.0,accident,34.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q2001,Stanley Kubrick,American filmmaker,Male,United States Of America,Athlete,1928,1999.0,natural causes,71.0,0,0,0,0,0,0,0,0,0,0,1,1,54.9,2,1
Q2022,Cesare Pavese,"Italian poet, novelist, literary critic, and translator",Male,Italy; Kingdom Of Italy,Researcher,1908,1950.0,suicide,42.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,1,2
Q2038,François Mitterrand,21st President of the French Republic (1916-1996),Male,France,Politician,1916,1996.0,natural causes,80.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q2040,Giuseppe Farina,Italian racecar driver,Male,Italy; Kingdom Of Italy,Racing automobile driver,1906,1966.0,accident,60.0,0,0,0,0,0,0,0,0,1,0,0,1,48.6,1,1
Q2104,Mike Hawthorn,British racing driver,Male,United Kingdom,Formula one driver,1929,1959.0,accident,30.0,0,0,0,0,0,0,0,0,1,1,0,0,47.3,0,1
Q2105,Jacques Chirac,French statesman and official (1932–2019),Male,France,Politician,1932,2019.0,natural causes,87.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q2125,Jack Brabham,Australian racing driver,Male,Australia,Athlete,1926,2014.0,natural causes,88.0,0,0,0,0,0,0,0,0,0,0,1,1,54.9,2,1
Q2185,Georges Pompidou,19th President of the French Republic (1911-1974),Male,France,Politician,1911,1974.0,natural causes,63.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,1,1
Q2190,Coluche,French comedian and actor,Male,France,Artist,1944,1986.0,accident,42.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q2196,Pierre Desproges,French humorist,Male,France,Artist,1939,1988.0,natural causes,49.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q2274,Chet Baker,American jazz trumpeter and vocalist (1929-1988),Male,United States Of America,Artist,1929,1988.0,accident,59.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q2514,Willy Brandt,"Chancellor of West Germany (1969–1974), SPD",Male,Norway; German Empire; West Germany,Artist,1913,1992.0,natural causes,79.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q2516,Helmut Schmidt,"Chancellor of West Germany (1974-1982), SPD",Male,Germany,Artist,1918,2015.0,natural causes,97.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q2571,Walter Scheel,President of West Germany (1974-1979),Male,Germany,Politician,1919,2016.0,natural causes,97.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q2607,Erich Honecker,German politician (1912-1994),Male,German Democratic Republic; Weimar Republic; German Empire; Saar,Politician,1912,1994.0,natural causes,82.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q2643,George Harrison,British musician and lead guitarist of the Beatles (1943-2001),Male,United Kingdom,Artist,1943,2001.0,natural causes,58.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q2737,Louis de Funès,French actor and comedian,Male,France,Artist,1914,1983.0,natural causes,69.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q2750,Bourvil,"French actor, comedian and singer",Male,France,Artist,1917,1970.0,natural causes,53.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q2757,Lech Kaczyński,"Polish politician, democratic oppositionist, ministry of justice, president of Poland (1949-2010)",Male,Poland,Artist,1949,2010.0,accident,61.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q2831,Michael Jackson,American recording artist; singer and songwriter (1958-2009),Male,United States Of America,Athlete,1958,2009.0,natural causes,51.0,0,0,0,0,0,0,0,0,0,0,1,1,54.9,1,1
Q2998,Amy Johnson,pioneering English aviator,Female,United Kingdom; United Kingdom Of Great Britain And Ireland,Military personnel,1903,1941.0,accident,38.0,1,0,0,0,0,0,0,0,1,1,1,0,51.9,0,1
Q3112,Phil Hill,American race car driver,Male,United States Of America,Racing automobile driver; formula one driver,1927,2008.0,natural causes,81.0,0,0,0,0,0,0,0,1,0,0,0,0,57.3,2,1
Q3128,Graham Hill,British racing driver,Male,United Kingdom,Engineer,1929,1975.0,accident,46.0,0,0,0,0,0,0,0,1,0,0,0,1,60.4,1,1
Q3166,Denny Hulme,New Zealand racing driver,Male,New Zealand,Racing automobile driver; formula one driver,1936,1992.0,natural causes,56.0,0,0,0,0,0,0,0,1,0,0,0,0,57.3,1,1
Q3234,Jochen Rindt,Austrian racing driver,Male,Austria; Germany,Racing automobile driver; formula one driver,1942,1970.0,accident,28.0,0,0,0,0,0,0,0,1,0,0,0,0,57.3,0,1
Q3335,George Orwell,English author and journalist,Male,United Kingdom; United Kingdom Of Great Britain And Ireland,Artist,1903,1950.0,natural causes,47.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q3925,Grace Kelly,American actress and Princess consort of Monaco,Female,United States Of America; Monaco,Artist,1929,1982.0,accident,53.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q4145,Patrice O'Neal,"American stand-up comedian, radio personality, and actor (1969-2011)",Male,United States Of America,Artist,1969,2011.0,natural causes,42.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q4227,James Coburn,American actor,Male,United States Of America,Artist,1928,2002.0,natural causes,74.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q4583,Anne Frank,German-born diarist and Holocaust victim (1929-1945),Female,Germany,Artist,1929,1945.0,natural causes,16.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q4593,Rajiv Gandhi,sixth Prime Minister of India (1944-1991),Male,India; British Raj,Politician,1944,1991.0,homicide,47.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,1,1
Q4612,Marlene Dietrich,German-American actress and singer (1901-1992),Female,United States Of America; Nazi Germany; Weimar Republic; German Empire,Artist,1901,1992.0,natural causes,91.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q4616,Marilyn Monroe,"American actress, model, and singer (1926-1962)",Female,United States Of America,Artist,1926,1962.0,suicide,36.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q4631,Mohamed Morsi,5th President of Egypt (1951-2019),Male,Egypt,Politician,1951,2019.0,natural causes,68.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q4762,Roy Budd,British jazz musician and composer,Male,United Kingdom,Artist,1947,1993.0,natural causes,46.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q5031,Elder Paisios of Mount Athos,Greek Eastern Orthodox monk,Male,Greece; Turkey,Monk; ascetic,1924,1994.0,natural causes,70.0,0,0,0,0,0,0,0,1,0,1,0,1,70.0,2,2
Q5383,David Bowie,"British singer, musician, and actor (1947-2016)",Male,United Kingdom,Artist,1947,2016.0,natural causes,69.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q5443,Greta Garbo,Swedish-American actress (1905-1990),Female,United States Of America; Sweden,Artist,1905,1990.0,natural causes,85.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q5444,Pietro Mennea,Italian sprinter and politician (1952-2013),Male,Italy,Athlete,1952,2013.0,natural causes,61.0,0,0,0,0,0,0,0,0,0,0,1,1,54.9,1,1
Q5577,Salvador Dalí,Spanish artist (1904-1989),Male,Spain,Artist,1904,1989.0,natural causes,85.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q5588,Frida Kahlo,Mexican painter,Female,Mexico,Artist,1907,1954.0,natural causes,47.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q5603,Andy Warhol,American artist and film director and producer (1928-1987),Male,United States Of America,Artist,1928,1987.0,natural causes,59.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q5809,Che Guevara,Argentine Marxist revolutionary,Male,Cuba; Argentina,Athlete,1928,1967.0,extrajudicial killing,39.0,0,0,0,0,0,0,0,0,0,0,1,1,54.9,0,1
Q5878,Gabriel García Márquez,"Colombian writer, journalist and Nobel laureate in literature",Male,Colombia,Artist,1927,2014.0,natural causes,87.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q5921,Chuck Berry,"American singer, songwriter and guitarist",Male,United States Of America,Artist,1926,2017.0,natural causes,91.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q5928,Jimi Hendrix,"American guitarist, singer and songwriter",Male,United States Of America,Artist,1942,1970.0,accident,28.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q5950,James Brown,"American singer, songwriter, musician, and recording artist (1933-2006)",Male,United States Of America,Artist,1933,2006.0,natural causes,73.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q5969,Eddie Cochran,American rock and roll pioneer,Male,United States Of America,Artist,1938,1960.0,accident,22.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q6105,Hebe Camargo,"Brazilian recording artist, television host, singer",Female,Brazil,Artist,1929,2012.0,natural causes,83.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q6107,Tupac Shakur,American rapper (1971–1996),Male,United States Of America,Artist,1971,1996.0,homicide,25.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q6711,Allen Ginsberg,American poet,Male,United States Of America,Artist,1926,1997.0,natural causes,71.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q7122,Michel Audiard,French screenwriter and film director,Male,France,Artist,1920,1985.0,natural causes,65.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q7197,Simone de Beauvoir,"French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist",Female,France,Artist,1908,1986.0,natural causes,78.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q7251,Alan Turing,"British mathematician, logician, cryptanalyst, and computer scientist",Male,United Kingdom,Researcher,1912,1954.0,suicide,42.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,1,2
Q7339,Margot Frank,older sister of Anne Frank,Female,Kingdom Of The Netherlands; Weimar Republic,Student,1926,1945.0,homicide; natural causes,19.0,1,0,0,0,0,0,0,1,0,1,1,1,21.2,0,0
Q7346,John Coltrane,American jazz saxophonist,Male,United States Of America,Artist,1926,1967.0,natural causes,41.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q7371,Federico Fellini,Italian filmmaker,Male,Italy; Kingdom Of Italy,Artist,1920,1993.0,natural causes,73.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q7416,Margaret Thatcher,British stateswoman and prime minister (1925–2013),Female,United Kingdom; United Kingdom Of Great Britain And Ireland,Researcher,1925,2013.0,natural causes,88.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q7423,Karen Wetterhahn,American chemist,Female,United States Of America,Researcher,1948,1997.0,accident,49.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,1,2
Q7474,Rosalind Franklin,"British chemist, biophysicist, and X-ray crystallographer",Female,United Kingdom Of Great Britain And Ireland,Researcher,1920,1958.0,natural causes,38.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,0,2
Q7513,Kathleen Lonsdale,Irish crystallographer,Female,United Kingdom,Researcher,1903,1971.0,natural causes,68.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q7541,Sally Floyd,American computer scientist,Female,United States Of America,Researcher,1950,2019.0,natural causes,69.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q7542,Prince,"American singer, musician, and songwriter",Male,United States Of America,Artist,1958,2016.0,accident,58.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q7555,Jude Milhon,American hacker & author,Female,United States Of America,Researcher,1939,2003.0,natural causes,64.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,1,2
Q7833,Boris Vian,"French polymath: writer, poet, musician, singer, translator, critic, actor, inventor and engineer (1920-1959)",Male,France,Artist,1920,1959.0,natural causes,39.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q7934,Frank Herbert,American writer,Male,United States Of America,Artist,1920,1986.0,natural causes,66.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q8006,Akira Kurosawa,Japanese film maker,Male,Japan,Artist,1910,1998.0,natural causes,88.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q8027,Martin Luther King Jr.,"American clergyman, activist, and leader in the American Civil Rights Movement",Male,United States Of America,Artist,1929,1968.0,homicide,39.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q8159,Paul Bocuse,French chef,Male,France,Businessperson,1926,2018.0,natural causes,92.0,0,0,0,0,0,0,0,0,0,1,0,1,68.5,2,2
Q8440,Hugo Chávez,president of Venezuela (1999-2013),Male,Venezuela,Politician,1954,2013.0,natural causes,59.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,1,1
Q8446,Kurt Cobain,"American singer, musician, and composer",Male,United States Of America,Artist,1967,1994.0,suicide,27.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q8556,Edsger W. Dijkstra,Dutch computer scientist,Male,Kingdom Of The Netherlands,Researcher,1930,2002.0,natural causes,72.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q8619,Pierre Trudeau,15th Prime Minister of Canada (1919-2000),Male,Canada,Politician,1919,2000.0,natural causes,81.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q8620,Kwame Nkrumah,Ghanaian pan-africanist and the first Prime Minister and President of Ghana (1909-1972),Male,Ghana; Gold Coast,Artist,1909,1972.0,natural causes,63.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q8704,Walt Disney,American film producer and businessman (1901-1966),Male,United States Of America,Artist,1901,1966.0,natural causes,65.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q8753,Enrico Fermi,Italian physicist,Male,United States Of America; Italy; Kingdom Of Italy,Researcher,1901,1954.0,natural causes,53.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,1,2
Q9364,Jean-Paul Sartre,"French existentialist philosopher, playwright, novelist, screenwriter, political activist, biographer, and literary critic",Male,France,Artist,1905,1980.0,natural causes,75.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q9486,Graham Taylor,English association football player and manager (1944-2017),Male,United Kingdom,Athlete,1944,2017.0,natural causes,73.0,0,0,0,0,0,0,0,0,0,0,1,1,54.9,2,1
Q9513,A. P. J. Abdul Kalam,"11th President of India, scientist and science administrator (1931-2015)",Male,India; British Raj,Researcher,1931,2015.0,natural causes,84.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q9582,Gerald Ford,"American politician, 38th President of the United States (in office from 1974 to 1977)",Male,United States Of America,Politician,1913,2006.0,natural causes,93.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q9588,Richard Nixon,37th President of the United States of America (1913-1994),Male,United States Of America,Politician,1913,1994.0,natural causes,81.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q9640,Lyndon B. Johnson,36th president of the United States (1908-1973),Male,United States Of America,Politician,1908,1973.0,natural causes,65.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,1,1
Q9685,"Diana, Princess of Wales","first wife of Charles, Prince of Wales (1961-1997)",Female,United Kingdom,Socialite; environmentalist; philanthropist; humanitarian,1961,1997.0,accident,36.0,1,0,0,0,0,0,0,1,1,1,0,0,36.0,0,0
Q9696,John F. Kennedy,35th president of the United States (1917-1963),Male,United States Of America,Politician,1917,1963.0,homicide,46.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,1,1
Q9960,Ronald Reagan,40th president of the United States and actor,Male,United States Of America,Artist,1911,2004.0,natural causes,93.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q10390,John McCain,American politician (1936-2018),Male,United States Of America,Artist,1936,2018.0,natural causes,82.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q10411,Odd Børretzen,"Norwegian author, illustrator, translator and singer-songwriter (1926-2012)",Male,Norway,Artist,1926,2012.0,natural causes,86.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q10490,Ayrton Senna,Brazilian racing driver,Male,Brazil,Businessperson,1960,1994.0,accident,34.0,0,0,0,0,0,0,0,0,0,1,0,1,68.5,0,2
Q10665,Kim Jong-il,General Secretary of the Workers' Party of Korea (1941-2011),Male,North Korea,Politician,1941,2011.0,natural causes,70.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q10678,Yann-Fañch Kemener,traditional singer,Male,France,Artist,1957,2019.0,natural causes,62.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q10707,Robert Mugabe,2nd President of Zimbabwe (1924-2019),Male,Zimbabwe,Politician,1924,2019.0,natural causes,95.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q10953,Henriette Avram,American computer programmer and system analyst,Female,United States Of America,Researcher,1919,2006.0,natural causes,87.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q11093,Valerie Solanas,American radical feminist and author,Female,United States Of America,Artist,1936,1988.0,natural causes,52.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q11156,Antonin Scalia,former Associate Justice of the Supreme Court of the United States,Male,United States Of America,Researcher,1936,2016.0,natural causes,80.0,0,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q11237,Nelson Rockefeller,American politician (1908-1979),Male,United States Of America,Politician,1908,1979.0,natural causes,71.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q11270,Fulgencio Batista,Cuban politician,Male,Cuba,Politician,1901,1973.0,suicide; natural causes,72.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,2,1
Q11428,Jean Bartik,American ENIAC computer programmer,Female,United States Of America,Researcher,1924,2011.0,natural causes,87.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,2,2
Q11483,Anita Borg,American computer scientist,Female,United States Of America,Researcher,1949,2003.0,natural causes,54.0,1,0,0,0,0,0,0,0,0,1,0,0,68.7,1,2
Q11617,Aaliyah,"American singer, actress and model (1979-2001)",Female,United States Of America,Artist,1979,2001.0,accident,22.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,0,1
Q11637,Judy Garland,"American actress, singer and vaudevillian (1922-1969)",Female,United States Of America,Artist,1922,1969.0,accident,47.0,1,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q11672,"Carroll A. Campbell, Jr.",112th Governor of South Carolina (1940-2005),Male,United States Of America,Politician,1940,2005.0,natural causes,65.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,1,1
Q11715,Leopold Figl,"Austrian politician, minister, chancellor",Male,Austria,Politician,1902,1965.0,natural causes,63.0,0,0,0,0,0,0,0,0,0,0,1,0,65.1,1,1
Q11877,Ivory Joe Hunter,"American rhythm and blues singer, songwriter, and pianist",Male,United States Of America,Artist,1914,1974.0,natural causes,60.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
Q11941,Carl Barks,American Disney comics creator (1901-2000),Male,United States Of America,Artist,1901,2000.0,natural causes,99.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,2,1
Q12109,Roberto Raviola,Italian comic book artist,Male,Italy; Kingdom Of Italy,Artist,1939,1996.0,natural causes,57.0,0,0,0,0,0,0,0,0,0,0,0,1,64.7,1,1
